Code,Oblast,Opstina,Oblast,Opstina_Cir,MunicipaltiesOSM,Region
80039,Južnobanatska oblast,Alibunar,Јужнобанатски управни округ,Алибунар,Alibunar Municipality,Vojvodina
80098,Južnobanatska oblast,Bela Crkva,Јужнобанатски управни округ,Бела Црква,Bela Crkva Municipality,Vojvodina
80128,Južnobanatska oblast,Vršac,Јужнобанатски управни округ,Вршац,Vrsac Municipality,Vojvodina
80217,Južnobanatska oblast,Kovačica,Јужнобанатски управни округ,Ковачица,Kovacica Municipality,Vojvodina
80225,Južnobanatska oblast,Kovin,Јужнобанатски управни округ,Ковин,Kovin Municipality,Vojvodina
80292,Južnobanatska oblast,Opovo,Јужнобанатски управни округ,Опово,Opovo Municipality,Vojvodina
80314,Južnobanatska oblast,Pančevo-grad,Јужнобанатски управни округ,Панчево – град,Pancevo City,Vojvodina
80349,Južnobanatska oblast,Plandište,Јужнобанатски управни округ,Пландиште,Plandiste Municipality,Vojvodina
80055,Južnobačka oblast,Bač,Јужнобачки управни округ,Бач,Bac Municipality,Vojvodina
80063,Južnobačka oblast,Bačka Palanka,Јужнобачки управни округ,Бачка Паланка,Backa Palanka Municipality,Vojvodina
80080,Južnobačka oblast,Bački Petrovac,Јужнобачки управни округ,Бачки Петровац,Backi Petrovac Municipality,Vojvodina
80101,Južnobačka oblast,Beočin,Јужнобачки управни округ,Беочин,Beocin Municipality,Vojvodina
80110,Južnobačka oblast,Bečej,Јужнобачки управни округ,Бечеј,Becej Municipality,Vojvodina
80136,Južnobačka oblast,Žabalj,Јужнобачки управни округ,Жабаљ,Zabalj Municipality,Vojvodina
80284,Južnobačka oblast,Novi Sad,Јужнобачки управни округ,Град Нови Сад,Novi Sad City,Vojvodina
80390,Južnobačka oblast,Srbobran,Јужнобачки управни округ,Србобран,Srbobran Municipality,Vojvodina
80411,Južnobačka oblast,Sremski Karlovci,Јужнобачки управни округ,Сремски Карловци,Sremski Karlovci Municipality,Vojvodina
80446,Južnobačka oblast,Temerin,Јужнобачки управни округ,Темерин,Temerin Municipality,Vojvodina
80454,Južnobačka oblast,Titel,Јужнобачки управни округ,Тител,Titel Municipality,Vojvodina
80462,Južnobačka oblast,Vrbas,Јужнобачки управни округ,Врбас,Vrbas Municipality,Vojvodina
80519,Južnobačka oblast,Petrovaradin,Јужнобачки управни округ,Петроварадин,Novi Sad City,Vojvodina
70360,Kolubarska oblast,Valjevo-grad,Колубарски управни округ,Ваљево – град,Valjevo City,Sumadija and Western Serbia
70700,Kolubarska oblast,Lajkovac,Колубарски управни округ,Лајковац,Lajkovac Municipality,Sumadija and Western Serbia
70769,Kolubarska oblast,Ljig,Колубарски управни округ,Љиг,Ljig Municipality,Sumadija and Western Serbia
70831,Kolubarska oblast,Mionica,Колубарски управни округ,Мионица,Mionica Municipality,Sumadija and Western Serbia
70882,Kolubarska oblast,Osečina,Колубарски управни округ,Осечина,Osecina Municipality,Sumadija and Western Serbia
71218,Kolubarska oblast,Ub,Колубарски управни округ,Уб,Ub Municipality,Sumadija and Western Serbia
70289,Mačvanska oblast,Bogatić,Мачвански управни округ,Богатић,Bogatic Municipality,Sumadija and Western Serbia
70408,Mačvanska oblast,Vladimirci,Мачвански управни округ,Владимирци,Vladimirci Municipality,Sumadija and Western Serbia
70637,Mačvanska oblast,Koceljeva,Мачвански управни округ,Коцељева,Koceljeva Municipality,Sumadija and Western Serbia
70661,Mačvanska oblast,Krupanj,Мачвански управни округ,Крупањ,Krupanj Municipality,Sumadija and Western Serbia
70734,Mačvanska oblast,Loznica-grad,Мачвански управни округ,Лозница – град,Loznica City,Sumadija and Western Serbia
70777,Mačvanska oblast,Ljubovija,Мачвански управни округ,Љубовија,Ljubovija Municipality,Sumadija and Western Serbia
70793,Mačvanska oblast,Mali Zvornik,Мачвански управни округ,Мали Зворник,Mali Zvornik Municipality,Sumadija and Western Serbia
71269,Mačvanska oblast,Šabac-grad,Мачвански управни округ,Шабац – град,Sabac City,Sumadija and Western Serbia
70483,Moravička oblast,Gornji Milanovac,Моравички управни округ,Горњи Милановац,Gornji Milanovac Municipality,Sumadija and Western Serbia
70564,Moravička oblast,Ivanjica,Моравички управни округ,Ивањица,Ivanjica Municipality,Sumadija and Western Serbia
70742,Moravička oblast,Lučani,Моравички управни округ,Лучани,Lucani Municipality,Sumadija and Western Serbia
71242,Moravička oblast,Čačak-grad,Моравички управни округ,Чачак – град,Cacak City,Sumadija and Western Serbia
70025,Nišavska oblast,Aleksinac,Нишавски управни округ,Алексинац,Aleksinac Municipality,Southern and Eastern Serbia
70467,Nišavska oblast,Gadžin Han,Нишавски управни округ,Гаџин Хан,Gadzin Han Municipality,Southern and Eastern Serbia
70513,Nišavska oblast,Doljevac,Нишавски управни округ,Дољевац,Doljevac Municipality,Southern and Eastern Serbia
70823,Nišavska oblast,Merošina,Нишавски управни округ,Мерошина,Merosina Municipality,Southern and Eastern Serbia
71005,Nišavska oblast,Ražanj,Нишавски управни округ,Ражањ,Razanj Municipality,Southern and Eastern Serbia
71064,Nišavska oblast,Svrljig,Нишавски управни округ,Сврљиг,Svrljig Municipality,Southern and Eastern Serbia
71285,Nišavska oblast,Niš-Niška Banja,Нишавски управни округ,Ниш – Нишка Бања,Nis City,Southern and Eastern Serbia
71307,Nišavska oblast,Niš-Pantelej,Нишавски управни округ,Ниш – Пантелеј,Nis City,Southern and Eastern Serbia
71315,Nišavska oblast,Niš-Crveni krst,Нишавски управни округ,Ниш – Црвени Крст,Nis City,Southern and Eastern Serbia
71323,Nišavska oblast,Niš-Palilula,Нишавски управни округ,Ниш – Палилула,Nis City,Southern and Eastern Serbia
71331,Nišavska oblast,Niš-Medijana,Нишавски управни округ,Ниш – Медијана,Nis City,Southern and Eastern Serbia
70050,Pirotska oblast,Babušnica,Пиротски управни округ,Бабушница,Babusnica Municipality,Southern and Eastern Serbia
70084,Pirotska oblast,Bela Palanka,Пиротски управни округ,Бела Паланка,Bela Palanka Municipality,Southern and Eastern Serbia
70505,Pirotska oblast,Dimitrovgrad,Пиротски управни округ,Димитровград,Dimitrovgrad Municipality,Southern and Eastern Serbia
70939,Pirotska oblast,Pirot,Пиротски управни округ,Пирот,Pirot Municipality,Southern and Eastern Serbia
70386,Podunavska oblast,Velika Plana,Подунавски управни округ,Велика Плана,Velika Plana Municipality,Southern and Eastern Serbia
71099,Podunavska oblast,Smederevo-grad,Подунавски управни округ,Смедерево – град,Smederevo City,Southern and Eastern Serbia
71102,Podunavska oblast,Smederevska Palanka,Подунавски управни округ,Смедеревска Паланка,Smederevska Palanka Municipality,Southern and Eastern Serbia
70491,Pomoravska oblast,Despotovac,Поморавски управни округ,Деспотовац,Despotovac Municipality,Sumadija and Western Serbia
70904,Pomoravska oblast,Paraćin,Поморавски управни округ,Параћин,Paracin Municipality,Sumadija and Western Serbia
71030,Pomoravska oblast,Rekovac,Поморавски управни округ,Рековац,Rekovac Municipality,Sumadija and Western Serbia
